Sno,CustomerId,CredScore,Location,Gender,Age,Term,Acc Bal,NumOfAddOnServ,HasCover,IsActiveMember,EstimatedSalary,RenewsPolicy
1,45656330,600,Mumbai,Female,48,2,0,1,1,1,101348.88,Yes
2,45694666,608,Bangalore,Female,41,1,83807.86,1,0,1,112542.58,No
3,45699830,502,Mumbai,Female,42,8,159660.8,3,1,0,113931.57,Yes
4,45806438,699,Mumbai,Female,39,1,0,2,0,0,93826.63,No
5,45782736,850,Bangalore,Female,43,2,125510.82,1,1,1,79084.1,No
6,45578722,645,Bangalore,Male,44,8,113755.78,2,1,0,149756.71,Yes
7,45694408,822,Mumbai,Male,50,7,0,2,1,1,10062.8,No
8,45685450,376,Delhi,Female,29,4,115046.74,4,1,0,119346.88,Yes
9,45684674,501,Mumbai,Male,44,4,142051.07,2,0,1,74940.5,No
10,45669444,684,Mumbai,Male,27,2,134603.88,1,1,1,71725.73,No
11,45752026,528,Mumbai,Male,31,6,102016.72,2,0,0,80181.12,No
12,45757824,497,Bangalore,Male,24,3,0,2,1,0,76390.01,No
13,45694237,476,Mumbai,Female,34,10,0,2,1,0,26260.98,No
14,45684474,549,Mumbai,Female,25,5,0,2,0,0,190857.79,No
15,45644487,635,Bangalore,Female,35,7,0,2,1,1,65951.65,No
16,45700964,616,Delhi,Male,45,3,143129.41,2,0,1,64327.26,No
17,45674334,653,Delhi,Male,58,1,132602.88,1,1,0,5097.67,Yes
18,45633854,549,Bangalore,Female,24,9,0,2,1,1,14406.41,No
19,45622578,587,Bangalore,Male,45,6,0,1,0,0,158684.81,No
20,45630244,726,Mumbai,Female,24,6,0,2,1,1,54724.03,No
21,45743460,732,Mumbai,Male,41,8,0,2,1,1,170886.17,No
22,45804346,636,Bangalore,Female,32,8,0,2,1,0,138555.46,No
23,45766552,510,Bangalore,Female,38,4,0,1,1,0,118913.53,Yes
24,45636562,669,Mumbai,Male,46,3,0,2,0,1,8487.75,No
25,45575935,846,Mumbai,Female,38,5,0,1,1,1,187616.16,No
26,45638543,577,Mumbai,Male,25,3,0,2,0,1,124508.29,No
27,45842272,756,Delhi,Male,36,2,136815.64,1,1,1,170041.95,No
28,45770844,571,Mumbai,Male,44,9,0,2,0,0,38433.35,No
29,45740404,574,Delhi,Female,43,3,141349.43,1,1,1,100187.43,No
30,45568573,411,Mumbai,Male,29,0,59697.17,2,1,1,53483.21,No
31,45752342,591,Bangalore,Female,39,3,0,3,1,0,140469.38,Yes
32,45744423,533,Mumbai,Male,36,7,85311.7,1,0,1,156731.91,No
33,45644800,553,Delhi,Male,41,9,110112.54,2,0,0,81898.81,No
34,45748360,520,Bangalore,Female,42,6,0,2,1,1,34410.55,No
35,45738497,722,Bangalore,Female,29,9,0,2,1,1,142033.07,No
36,45775294,475,Mumbai,Female,45,0,134264.04,1,1,0,27822.99,Yes
37,45783859,490,Bangalore,Male,31,3,145260.23,1,0,1,114066.77,No
38,45728467,804,Bangalore,Male,33,7,76548.6,1,0,1,98453.45,No
39,45648225,850,Mumbai,Male,36,7,0,1,1,1,40812.9,No
40,45794324,582,Delhi,Male,41,6,70349.48,2,0,1,178074.04,No
41,45648394,472,Bangalore,Male,40,4,0,1,1,0,70154.22,No
42,45720847,465,Mumbai,Female,51,8,122522.32,1,0,0,181297.65,Yes
43,45642409,556,Mumbai,Female,61,2,117419.35,1,1,1,94153.83,No
44,45573854,834,Mumbai,Female,49,2,131394.56,1,0,0,194365.76,Yes
45,45763256,660,Bangalore,Female,61,5,155931.11,1,1,1,158338.39,No
46,45573309,776,Delhi,Female,32,4,109421.13,2,1,1,126517.46,No
47,45674655,829,Delhi,Female,27,9,112045.67,1,1,1,119708.21,Yes
48,45792726,637,Delhi,Female,39,9,137843.8,1,1,1,117622.8,Yes
49,45570002,550,Delhi,Male,38,2,103391.38,1,0,1,90878.13,No
50,45760246,776,Delhi,Female,37,2,103769.22,2,1,0,194099.12,No
51,45608886,698,Delhi,Male,44,10,116363.37,2,1,0,198059.16,No
52,45646566,585,Delhi,Male,36,5,146050.97,2,0,0,86424.57,No
53,45750424,788,Mumbai,Female,33,5,0,2,0,0,116978.19,No
54,45765902,655,Delhi,Male,41,8,125561.97,1,0,0,164040.94,Yes
55,45775625,601,Delhi,Male,42,1,98495.72,1,1,0,40014.76,Yes
56,45767444,619,Mumbai,Male,43,1,125211.92,1,1,1,113410.49,No
57,45576444,656,Mumbai,Male,45,5,127864.4,1,1,0,87107.57,No
58,45585865,725,Delhi,Male,19,0,75888.2,1,0,0,45613.75,No
59,45582090,511,Bangalore,Female,66,4,0,1,1,0,1643.11,Yes
60,45795747,614,Mumbai,Male,51,4,40685.92,1,1,1,46775.28,No
61,45763704,742,Delhi,Male,35,5,136857,1,0,0,84509.57,No
62,45723488,687,Delhi,Female,27,9,152328.88,2,0,0,126494.82,No
63,45783477,555,Bangalore,Male,33,1,56084.69,2,0,0,178798.13,No
64,45696859,684,Bangalore,Male,56,8,78707.16,1,1,1,99398.36,No
65,45759994,603,Delhi,Male,26,4,109166.37,1,1,1,92840.67,No
66,45650394,751,Delhi,Female,36,6,169831.46,2,1,1,27758.36,No
67,45764692,581,Delhi,Female,34,1,101633.04,1,1,0,110431.51,No
68,45784665,735,Delhi,Male,43,10,123180.01,2,1,1,196673.28,No
69,45603854,661,Delhi,Female,35,5,150725.53,2,0,1,113656.85,No
70,45758482,675,Mumbai,Female,21,8,98373.26,1,1,0,18203,No
71,45620756,738,Delhi,Male,58,2,133745.44,4,1,0,28373.86,Yes
72,45634896,813,Mumbai,Male,29,6,0,1,1,0,33953.87,No
73,45754874,657,Bangalore,Female,37,0,163607.18,1,0,1,44203.55,No
74,45588090,604,Delhi,Female,25,5,157780.84,2,1,1,58426.81,No
75,45635240,519,Mumbai,Male,36,9,0,2,0,1,145562.4,No
76,45690475,735,Mumbai,Female,21,1,178718.19,2,1,0,22388,No
77,45792986,664,Mumbai,Male,55,8,0,2,1,1,139161.64,No
78,45659366,678,Mumbai,Female,32,9,0,1,1,1,148210.64,No
79,45742584,757,Bangalore,Male,33,5,77253.22,1,0,1,194239.63,No
80,45780677,416,Delhi,Female,41,10,122189.66,2,1,0,98301.61,No
81,45722422,665,Mumbai,Female,34,1,96645.54,2,0,0,171413.66,No
82,45724838,777,Mumbai,Female,32,2,0,1,1,0,136458.19,Yes
83,45753337,543,Mumbai,Female,36,3,0,2,0,0,26019.59,No
84,45594762,506,Mumbai,Female,34,4,90307.62,1,1,1,159235.29,No
85,45809722,493,Mumbai,Female,46,4,0,2,1,0,1907.66,No
86,45636658,652,Bangalore,Female,75,10,0,2,1,1,114675.75,No
87,45747323,750,Bangalore,Male,22,3,121681.82,1,1,0,128643.35,Yes
88,45774668,729,Mumbai,Male,30,9,0,2,1,0,151869.35,No
89,45722845,646,Mumbai,Female,46,4,0,3,1,0,93251.42,Yes
90,45664004,635,Delhi,Female,28,3,81623.67,2,1,1,156791.36,No
91,45764402,647,Bangalore,Female,44,5,0,3,1,1,174205.22,Yes
92,45754480,808,Mumbai,Male,45,7,118626.55,2,1,0,147132.46,No
93,45636478,524,Mumbai,Female,36,10,0,2,1,0,109614.57,No
94,45803445,769,Mumbai,Male,29,8,0,2,1,1,172290.61,No
95,45800064,730,Bangalore,Male,42,4,0,2,0,1,85982.47,No
96,45698649,515,Bangalore,Male,35,10,176273.95,1,0,1,121277.78,No
97,45804444,773,Bangalore,Male,41,9,102827.44,1,0,1,64595.25,No
98,45724854,814,Delhi,Male,29,8,97086.4,2,1,1,197276.13,No
99,45585433,710,Bangalore,Male,22,8,0,2,0,0,99645.04,No
100,45645938,413,Mumbai,Male,34,9,0,2,0,0,6534.18,No
101,45750674,665,Mumbai,Female,40,6,0,1,1,1,161848.03,No
102,45605245,623,Mumbai,Female,44,6,0,2,0,0,167162.43,No
103,45585855,738,Mumbai,Male,31,9,82674.15,1,1,0,41970.72,No
104,45777958,528,Bangalore,Male,36,7,0,2,1,0,60536.56,No
105,45806327,670,Bangalore,Female,65,1,0,1,1,1,177655.68,Yes
106,45760427,622,Bangalore,Female,46,4,107073.27,2,1,1,30984.59,Yes
107,45608956,582,Delhi,Male,32,1,88938.62,1,1,1,10054.53,No
108,45658057,785,Delhi,Female,36,2,99806.85,1,0,1,36976.52,No
109,45674987,605,Bangalore,Male,33,5,150092.8,1,0,0,71862.79,No
110,45690829,479,Delhi,Male,35,9,92833.89,1,1,0,99449.86,Yes
111,45654506,685,Delhi,Male,30,3,90536.81,1,0,1,63082.88,No
112,45764726,538,Delhi,Male,39,7,108055.1,2,1,0,27231.26,No
113,45750476,562,Mumbai,Male,42,2,100238.35,1,0,0,86797.41,No
114,45654403,675,Bangalore,Male,36,9,106190.55,1,0,1,22994.32,No
115,45752493,721,Delhi,Male,28,9,154475.54,2,0,1,101300.94,Yes
116,45572265,628,Delhi,Female,30,9,132351.29,2,1,1,74169.13,No
117,45709396,668,Delhi,Female,37,6,167864.4,1,1,0,115638.29,No
118,45749779,506,Mumbai,Female,41,1,0,2,1,0,31766.3,No
119,45807008,524,Delhi,Female,31,8,107818.63,1,1,0,199725.39,Yes
120,45840829,699,Delhi,Male,34,4,185173.81,2,1,0,120834.48,No
121,45569249,828,Mumbai,Male,34,8,129433.34,2,0,0,38131.77,No
122,45748920,674,Bangalore,Male,39,6,120193.42,1,0,0,100130.95,No
123,45656474,656,Mumbai,Female,39,6,0,2,1,0,141069.88,No
124,45762048,684,Delhi,Female,48,10,126384.42,1,1,1,198129.36,No
125,45625475,625,Mumbai,Female,28,3,0,1,0,0,183646.41,No
126,45678882,432,Mumbai,Male,42,9,152603.45,1,1,0,110265.24,Yes
127,45686060,549,Mumbai,Female,52,1,0,1,0,1,8636.05,Yes
128,45569678,625,Delhi,Male,56,0,148507.24,1,1,0,46824.08,Yes
129,45658852,828,Mumbai,Female,41,7,0,2,1,0,171378.77,No
130,45802478,770,Mumbai,Male,24,9,101827.07,1,1,0,167256.35,No
131,45604345,758,Mumbai,Female,34,3,0,2,1,1,124226.16,No
132,45672574,795,Delhi,Female,33,9,130862.43,1,1,1,114935.21,No
133,45706899,687,Mumbai,Male,38,9,122570.87,1,1,1,35608.88,No
134,45693264,686,Mumbai,Male,25,1,0,2,0,1,16459.37,No
135,45648954,789,Delhi,Male,39,7,124828.46,2,1,1,124411.08,No
136,45763895,589,Delhi,Female,50,5,144895.05,2,1,1,34941.23,No
137,45798906,461,Delhi,Female,34,5,63663.93,1,0,1,167784.28,No
138,45670463,637,Mumbai,Male,40,2,133463.1,1,0,1,93165.34,No
139,45627242,584,Bangalore,Female,48,2,213146.2,1,1,0,75161.25,Yes
140,45745295,579,Bangalore,Female,35,1,129490.36,2,0,1,8590.83,Yes
141,45647842,756,Delhi,Male,44,10,137452.09,1,1,0,189543.9,No
142,45725355,663,Mumbai,Male,34,7,0,2,1,1,180427.24,No
143,45773273,682,Mumbai,Female,43,5,125851.93,1,1,1,193318.33,No
144,45655474,793,Bangalore,Male,52,2,0,1,1,0,159123.82,Yes
145,45763444,691,Mumbai,Female,31,5,40915.55,1,1,0,126213.84,Yes
146,45580487,485,Bangalore,Female,21,5,113157.22,1,1,1,54141.5,No
147,45794743,635,Bangalore,Female,29,8,138296.94,2,1,0,141075.51,No
148,45790659,650,Mumbai,Male,37,5,106967.18,1,0,0,24495.03,No
149,45683403,735,Mumbai,Male,44,9,120681.63,1,1,0,74836.34,No
150,45658980,416,Mumbai,Male,32,0,0,2,0,1,878.87,No
151,45607884,754,Bangalore,Female,32,7,0,2,1,0,89520.75,No
152,45665402,535,Mumbai,Female,48,9,0,1,1,0,149892.79,Yes
153,45746035,716,Bangalore,Male,42,8,0,2,1,0,180800.42,No
154,45799825,539,Mumbai,Male,37,2,127609.59,1,1,0,98646.22,No
155,45657407,614,Mumbai,Female,43,6,0,2,1,1,109041.53,No
156,45844026,706,Bangalore,Male,57,7,0,1,1,0,17941.16,Yes
157,45569947,758,Mumbai,Female,33,7,0,2,0,0,82996.47,No
158,45647436,586,Bangalore,Female,28,2,0,2,1,1,92067.35,No
159,45603088,646,Mumbai,Female,73,6,97259.25,1,0,1,104719.66,No
160,45800295,631,Delhi,Female,33,4,123246.7,1,0,0,112687.57,No
161,45594423,717,Bangalore,Female,22,6,101060.25,1,0,1,84699.56,No
162,45706637,684,Mumbai,Male,30,2,0,2,1,0,83473.82,No
163,45678727,800,Mumbai,Female,49,7,108007.36,1,0,0,47125.11,No
164,45728838,721,Bangalore,Female,36,2,0,2,1,1,106977.8,No
165,45787258,683,Bangalore,Male,29,0,133702.89,1,1,0,55582.54,Yes
166,45635703,660,Delhi,Male,31,9,125189.75,2,1,1,139874.43,No
167,45743849,704,Delhi,Female,24,7,113034.22,1,1,0,162503.48,Yes
168,45759480,615,Bangalore,Female,41,9,109013.23,1,1,0,196499.96,No
169,45595842,667,Bangalore,Female,39,2,0,2,1,0,40721.24,Yes
170,45623072,682,Delhi,Male,24,9,57929.81,2,0,0,53134.3,No
171,45598088,484,Mumbai,Female,29,4,130114.39,1,1,0,164017.89,No
172,45697283,628,Delhi,Male,27,5,95826.49,2,1,0,155996.96,No
173,45684348,480,Delhi,Male,44,10,129608.57,1,1,0,5472.7,Yes
174,45578977,578,Mumbai,Male,30,4,169462.09,1,1,0,112187.11,No
175,45736990,512,Mumbai,Male,40,5,0,2,1,1,146457.83,No
176,45787835,484,Bangalore,Female,35,7,133868.21,1,1,1,27286.1,No
177,45740743,510,Mumbai,Female,30,0,0,2,1,1,130553.47,No
178,45795895,606,Delhi,Male,36,5,190479.48,2,0,0,179351.89,No
179,45723706,597,Bangalore,Female,40,8,101993.12,1,0,1,94774.12,No
180,45702030,754,Delhi,Female,55,3,161608.81,1,1,0,8080.85,Yes
181,45643673,850,Bangalore,Female,45,2,122311.21,1,1,1,19482.5,No
182,45737275,510,Mumbai,Male,65,2,0,2,1,1,48071.61,No
183,45603465,778,Delhi,Female,45,1,162150.42,2,1,0,174531.27,No
184,45579287,636,Mumbai,Male,42,2,0,2,1,1,55470.78,No
185,45627847,804,Mumbai,Female,50,4,0,1,1,1,8546.87,Yes
186,45587742,514,Mumbai,Male,32,8,0,2,1,0,95857.18,No
187,45737605,730,Mumbai,Female,39,1,99010.67,1,1,0,194945.8,No
188,45574206,525,Bangalore,Female,37,0,0,1,0,1,131521.72,No
189,45674439,616,Bangalore,Male,30,5,0,2,0,1,196108.51,No
190,45748944,687,Delhi,Female,34,7,111388.18,2,1,0,148564.76,No
191,45772424,715,Mumbai,Female,41,8,56214.85,2,0,0,92982.61,Yes
192,45694425,512,Mumbai,Female,36,3,84327.77,2,1,0,17675.36,No
193,45783007,479,Mumbai,Male,40,1,0,2,0,0,114996.43,No
194,45638459,601,Mumbai,Male,32,8,93012.89,1,1,0,86957.42,No
195,45745034,580,Bangalore,Male,29,9,61710.44,2,1,0,128077.8,No
196,45638774,807,Mumbai,Male,35,3,174790.15,1,1,1,600.36,No
197,45740404,616,Bangalore,Female,32,6,0,2,1,1,43001.46,No
198,45843697,721,Delhi,Male,37,3,107720.64,1,1,1,158591.12,No
199,45694395,501,Mumbai,Male,57,10,0,2,1,1,47847.19,No
200,45726087,521,Mumbai,Male,35,6,96423.84,1,1,0,10488.44,No
201,45682528,850,Bangalore,Male,30,2,141040.01,1,1,1,5978.2,No
202,45667438,759,Mumbai,Male,42,4,105420.18,1,0,1,121409.06,No
203,45599084,516,Bangalore,Male,50,5,0,1,0,1,146145.93,Yes
204,45742807,711,Mumbai,Female,38,2,129022.06,2,1,1,14374.86,Yes
205,45808849,512,Bangalore,Male,33,3,176666.62,1,1,0,94670.77,No
206,45697546,550,Mumbai,Male,37,3,0,1,1,1,179670.31,No
207,45577470,608,Bangalore,Female,41,3,89763.84,1,0,0,199304.74,Yes
208,45799634,618,Mumbai,Male,34,5,134954.53,1,1,1,151954.39,No
209,45639576,643,Mumbai,Male,45,5,0,1,1,0,142513.5,Yes
210,45680436,671,Mumbai,Male,45,2,106376.85,1,0,1,158264.62,No
211,45623063,689,Delhi,Male,33,2,161814.64,2,1,0,169381.9,No
212,45773276,603,Mumbai,Male,31,8,0,2,1,1,169915.02,No
213,45593044,620,Mumbai,Female,41,9,0,2,0,0,88852.47,No
214,45663883,676,Mumbai,Female,34,1,63095.01,1,1,1,40645.81,No
215,45694863,572,Delhi,Male,26,4,118287.01,2,0,0,60427.3,No
216,45676526,668,Delhi,Male,47,7,106854.21,1,0,1,157959.02,Yes
217,45842244,695,Mumbai,Male,46,7,49512.55,1,1,0,133007.34,No
218,45740450,730,Bangalore,Female,33,9,0,2,0,0,176576.62,No
219,45672798,807,Mumbai,Male,43,1,105799.32,2,1,0,34888.04,Yes
220,45582797,592,Mumbai,Male,54,8,0,1,1,1,28737.71,Yes
221,45768270,726,Mumbai,Female,31,9,114722.05,2,1,1,98178.57,No
222,45704537,514,Bangalore,Male,30,7,0,1,0,1,125010.24,No
223,45646490,567,Mumbai,Male,42,2,0,2,1,1,167984.61,No
224,45620423,850,Mumbai,Male,33,10,0,1,1,0,4861.72,Yes
225,45662403,671,Delhi,Male,45,6,99564.22,1,1,1,108872.45,Yes
226,45773098,670,Mumbai,Male,37,4,170557.91,2,1,0,198252.88,No
227,45668472,694,Mumbai,Female,30,9,0,2,1,1,26960.31,No
228,45702445,547,Delhi,Female,39,6,74596.15,3,1,1,85746.52,Yes
229,45765093,751,Delhi,Male,50,2,96888.39,1,1,0,77206.25,Yes
230,45843463,594,Delhi,Female,29,3,130830.22,1,1,0,61048.53,No
231,45734442,673,Mumbai,Male,72,1,0,2,0,1,111981.19,No
232,45686302,610,Mumbai,Male,40,0,0,2,1,0,62232.6,No
233,45643923,512,Mumbai,Female,37,1,0,2,0,1,156105.03,No
234,45569440,767,Delhi,Male,20,3,119714.25,2,0,1,150135.38,No
235,45605742,585,Mumbai,Female,67,5,113978.97,2,0,1,93146.11,No
236,45697686,763,Delhi,Male,42,6,100160.75,1,1,0,33462.94,Yes
237,45732443,712,Mumbai,Female,29,2,0,1,1,1,144375,No
238,45684484,539,Delhi,Female,43,3,116220.5,3,1,0,55803.96,Yes
239,45723008,668,Mumbai,Female,46,2,0,3,1,0,89048.46,Yes
240,45730444,703,Mumbai,Male,28,2,81173.83,2,0,1,162812.16,No
241,45677924,662,Bangalore,Male,38,4,0,2,1,0,136259.65,No
242,45686463,725,Delhi,Female,39,5,116803.8,1,1,0,124052.97,No
243,45787054,703,Mumbai,Male,37,8,105961.68,2,0,1,74158.8,No
244,45689544,659,Delhi,Male,67,6,117411.6,1,1,1,45071.09,Yes
245,45683448,523,Bangalore,Male,34,7,0,2,1,0,62030.06,No
246,45743559,635,Mumbai,Female,40,10,123497.58,1,1,0,131953.23,Yes
247,45792480,772,Delhi,Male,26,7,152400.51,2,1,0,79414,No
248,45809462,545,Mumbai,Female,26,1,0,2,1,1,199638.56,No
249,45745638,634,Delhi,Male,24,8,103097.85,1,1,1,157577.29,No
250,45732307,739,Delhi,Male,54,8,126418.14,1,1,0,134420.75,Yes
251,45590730,771,Delhi,Female,36,5,77846.9,1,0,0,99805.99,No
252,45845040,587,Bangalore,Female,34,1,0,2,1,1,97932.68,No
253,45596972,681,Mumbai,Female,79,0,0,2,0,1,170968.99,No
254,45577343,544,Delhi,Male,37,2,79731.91,1,1,1,57558.95,No
255,45742094,696,Bangalore,Male,28,8,0,1,0,0,176713.47,No
256,45780925,766,Bangalore,Male,41,0,0,2,0,1,34283.23,No
257,45580560,727,Mumbai,Male,34,10,0,2,1,1,198637.34,No
